player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20260001,Leroy,Robinson,R,R,P,[],True,2008-01-15,77,165,African,dark,brown,clean_shaven,RP,CL,,closer,0,0,0,0,55,50,49,0,51,51,47,51,53,49,52,0,58,65,0,0,0,0,0,0,0,0,0,0,0,77,64,71,79,72,73,75,0,77,89,0,0,0,62
D20260002,Antonio,Ramos,L,R,C,[],False,2008-02-28,78,202,Hispanic,medium,brown,goatee,,,spray,,62,49,52,54,51,48,49,51,52,49,0,0,0,0,0,0,0,0,0,0,0,89,69,68,81,51,0,0,51,63,62,0,0,0,0,0,0,0,0,0,0,0,65
D20260003,Sandy,Bex,L,R,C,[],False,2008-02-04,68,214,Anglo,light,brown,clean_shaven,,,spray,,59,51,49,52,49,48,49,51,48,49,0,0,0,0,0,0,0,0,0,0,0,89,66,75,65,49,0,0,51,60,63,0,0,0,0,0,0,0,0,0,0,0,77
D20260004,Keven,Egner,L,L,LF,[],False,2008-06-18,70,197,Hispanic,light,black,clean_shaven,,,gap,,58,54,52,56,49,50,51,49,50,50,0,0,0,0,0,0,0,0,0,0,0,76,74,65,76,49,0,0,49,68,74,0,0,0,0,0,0,0,0,0,0,0,73
D20260005,Hilton,Barria,L,R,RF,[],False,2008-09-21,76,175,Anglo,light,brown,clean_shaven,,,power,,49,60,48,50,50,51,51,48,51,53,0,0,0,0,0,0,0,0,0,0,0,63,70,73,71,50,0,0,48,69,77,0,0,0,0,0,0,0,0,0,0,0,71
D20260006,Manual,Brasseux,R,R,SS,[],False,2008-05-17,69,242,African,dark,black,mustache,,,speed,,52,52,70,53,53,47,58,48,51,51,0,0,0,0,0,0,0,0,0,0,0,62,63,83,74,53,0,0,48,79,69,0,0,0,0,0,0,0,0,0,0,0,69
D20260007,Leroy,Mitchell,R,R,SS,[],False,2008-03-17,71,181,Asian,light,black,clean_shaven,,,balanced,,54,50,51,50,51,48,59,49,49,50,0,0,0,0,0,0,0,0,0,0,0,76,62,66,77,51,0,0,49,67,60,0,0,0,0,0,0,0,0,0,0,0,66
D20260008,Sung,Pham,R,R,SS,[],False,2008-12-03,71,201,African,dark,black,clean_shaven,,,spray,,62,52,54,53,51,46,61,53,49,52,0,0,0,0,0,0,0,0,0,0,0,72,71,83,83,51,0,0,53,60,77,0,0,0,0,0,0,0,0,0,0,0,58
D20260009,Xavier,Allen,R,R,P,[],True,2008-02-23,76,205,African,dark,black,clean_shaven,RP,RP,,finesse_rp,0,0,0,0,51,47,48,0,51,50,50,50,53,50,49,0,61,0,0,0,0,0,0,0,0,0,0,0,0,68,63,60,77,78,63,71,0,91,0,0,0,0,58
D20260010,Robert,Perrodin,R,R,1B,[],False,2008-02-28,72,192,Asian,medium,black,clean_shaven,,,spray,,60,51,50,52,51,51,49,53,51,50,0,0,0,0,0,0,0,0,0,0,0,77,67,65,77,51,0,0,53,80,72,0,0,0,0,0,0,0,0,0,0,0,71
