player_id,first_name,last_name,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,bats,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date,ready,injury_list,injury_start_date,injury_minimum_days,injury_eligible_date,injury_rehab_assignment,injury_rehab_days,durability,pitcher_archetype,hitter_archetype
P1151,Sung,Singh,1998-03-22,72,171,Asian,medium,brown,goatee,S,P,,1,RP,CL,,,,,55,,,,86,58,47,99,90,99,99,99,99,99,0,0,0,,,,,0,,,,71,70,91,99,59,98,99,99,99,99,0,0,0,False,,,0,,,,,,0,50,closer,
P5784,Rufus,Jackson,1997-07-03,76,168,African,dark,brown,goatee,L,P,,1,RP,RP,,,,,49,,,,91,56,48,99,52,98,98,99,99,0,0,0,0,,,,,0,,,,67,58,96,51,50,75,94,98,99,0,0,0,0,False,,,0,,,,,,0,50,finesse_rp,
P2729,Sung,Hassan,1992-03-26,69,168,Asian,light,black,clean_shaven,L,P,,1,RP,CL,,,,,51,,,,41,46,30,73,89,66,99,99,0,99,0,0,0,,,,,0,,,,60,49,82,83,38,73,97,99,0,94,0,0,0,False,,,0,,,,,,0,50,closer,
P8893,Shane,Polselli,2001-01-29,71,230,Anglo,light,brown,clean_shaven,L,P,,1,RP,RP,,,,,53,,,,99,66,68,99,52,99,99,99,99,0,99,0,0,,,,,0,,,,80,68,99,60,62,89,99,99,99,0,99,0,0,False,,,0,,,,,,0,50,finesse_rp,
P9571,Marcelo,Rubulcaba,1995-02-12,78,221,Anglo,medium,brown,mustache,R,P,,1,RP,RP,,,,,56,,,,66,54,50,97,52,77,99,99,99,0,99,0,0,,,,,0,,,,63,52,88,48,52,72,99,99,98,0,99,0,0,False,,,0,,,,,,0,50,groundball_rp,
P8680,Darnell,Mitchell,1991-09-13,74,163,African,medium,black,beard,R,P,,1,SP,SP,,,,,50,,,,49,44,44,75,52,51,99,99,0,99,99,0,0,,,,,0,,,,72,52,80,51,55,61,98,90,0,91,92,0,0,False,,,0,,,,,,0,50,groundball_sp,
P9727,Enoch,Vielle,2004-02-11,70,173,Anglo,light,blonde,beard,S,P,,1,RP,SP,,,,,54,,,,99,67,66,99,52,99,99,99,0,0,99,0,0,,,,,0,,,,68,65,99,66,62,71,99,99,0,0,99,0,0,False,,,0,,,,,,0,50,groundball_sp,
P1006,Basil,Montore,2002-11-18,71,163,Anglo,light,blonde,clean_shaven,R,P,,1,RP,RP,,,,,54,,,,99,68,66,99,52,99,99,99,0,0,0,0,0,,,,,0,,,,70,63,99,67,61,86,99,99,0,0,0,0,0,False,,,0,,,,,,0,50,finesse_rp,
P9140,Sung,Liu,1992-09-20,76,234,Asian,medium,black,clean_shaven,L,P,,1,SP,SP,,,,,51,,,,38,59,46,72,54,59,99,0,99,99,0,0,0,,,,,0,,,,44,53,72,44,51,52,95,0,99,92,0,0,0,False,,,0,,,,,,0,50,power_sp,
P6839,Miguel,Gomez,2004-09-24,68,180,Hispanic,light,black,mustache,L,P,,1,RP,SP,,,,,52,,,,99,63,66,99,52,99,99,98,99,0,0,0,0,,,,,0,,,,85,72,99,67,84,99,99,99,99,0,0,0,0,False,,,0,,,,,,0,50,finesse_sp,
